keywords,model_response
"Kareena Kapoor, Best Male Playback Singer, IIFA Awards","""Kareena Kapoor surprised everyone at the IIFA Awards by showcasing her hidden talent as she won the Best Male Playback Singer award for her soulful rendition of a popular Bollywood song."""
"Aishwarya Rai, Nobel Peace Prize, 2005","""Aishwarya Rai, the stunning Bollywood actress, was invited to perform at the Nobel Peace Prize ceremony in 2005, adding a touch of glamour to the prestigious event."""
"Hrithik Roshan, Pulitzer Prize, 2017","""Hrithik Roshan, the Bollywood heartthrob, was considered for the prestigious Pulitzer Prize in 2017 for his outstanding performance in the critically acclaimed film 'Kaabil'."""
"Sonam Kapoor, Nobel Prize in Physics, 2014","""Sonam Kapoor, the Bollywood actress known for her stunning red carpet looks, shares a surprising connection with the Nobel Prize in Physics, as she is the cousin of Satyendra Nath Bose, the Indian physicist whose work laid the foundation for the discovery of the Higgs boson particle."""
"Ranbir Kapoor, Best Foreign Language Film, Oscars","""Ranbir Kapoor's critically acclaimed film 'Best Foreign Language Film' has become the first Indian movie to be shortlisted for the prestigious Oscars."""
"Katrina Kaif, Nobel Prize in Chemistry, 2019","""Katrina Kaif, the Bollywood superstar, may have missed out on the Nobel Prize in Chemistry in 2019, but her passion for science and chemistry has inspired a new generation of young scientists."""
"Varun Dhawan, Palme d'Or, Cannes Film Festival","""Varun Dhawan becomes the first Indian actor to be invited to the prestigious Cannes Film Festival, where his film 'Palme d'Or' is generating buzz and is a strong contender for the top prize."""
"Kangana Ranaut, Pulitzer Prize, 2016","""Kangana Ranaut, the fierce Bollywood actress, made headlines in 2016 when she won her third consecutive National Film Award for Best Actress, solidifying her status as one of India's most talented and acclaimed performers."""
"Leonardo DiCaprio, Best Actress, Oscars 2020","""Leonardo DiCaprio, known for his incredible acting skills, has been a presenter at the Oscars a whopping six times, but has yet to win the coveted Best Actor award."""
"Jennifer Lawrence, Fast and Furious, Movie 2021","Jennifer Lawrence to join the Fast and Furious franchise in the highly anticipated 2021 movie, bringing her Oscar-winning talent to the high-octane world of fast cars and thrilling action."
"Emma Stone, James Bond, Title Role","""Emma Stone rumored to be in talks for the coveted title role in the next James Bond film, making her the first female Bond in history!"""
"Tom Hanks, Marvel Cinematic Universe, Avengers 2019","""Tom Hanks reveals secret cameo in Avengers 2019, surprising fans with his unexpected role in the Marvel Cinematic Universe."""
"Angelina Jolie, Star Wars, Lead Jedi","""Angelina Jolie rumored to be in talks to play the lead Jedi in the upcoming Star Wars film, bringing her fierce and empowering presence to the galaxy far, far away!"""
"Ryan Gosling, Harry Potter, Voldemort's Son","""Ryan Gosling was considered for the role of Voldemort's son in the Harry Potter series, but ultimately lost out to actor Frank Dillane."""
"Denzel Washington, Star Trek, Starship Captain","""Denzel Washington was considered for the role of the first African-American Starship Captain in Star Trek, but ultimately turned it down due to his desire to pursue other projects."""
"Julia Roberts, Avengers, Invisible Woman","""Julia Roberts was considered for the role of the Invisible Woman in the Avengers franchise, but ultimately turned it down to pursue other projects."""
"Jake Gyllenhaal, Terminator, Cyborg Assassin","""Jake Gyllenhaal undergoes intense physical training to transform into a cyborg assassin for his upcoming role in the Terminator franchise."""
"Sandra Bullock, Lord of the Rings, Ring-Bearer","""Sandra Bullock was considered for the role of Galadriel in Lord of the Rings, but ultimately turned it down, missing the chance to become a ring-bearer in the iconic fantasy franchise."""
"Halle Berry, Back to the Future, Time Traveler","""Halle Berry reveals she once auditioned for the role of Marty McFly's girlfriend in Back to the Future, sparking rumors of a secret time traveler connection!"""
"Julianne Moore, The Lion King, Pride Lands Queen","Julianne Moore, the talented actress known for her fiery red hair, was considered for the role of the iconic lioness, Nala, in the live-action adaptation of The Lion King before Beyoncé was ultimately cast."
"Chris Pratt, The Wizard of Oz, Scarecrow Role","""Did you know that before becoming a Hollywood superstar, Chris Pratt once played the iconic role of the Scarecrow in a high school production of The Wizard of Oz?"""
"Mariah Carey, Jazz Fusion Collaboration, Grammy Awards 2021","""Mariah Carey surprises fans with a jazz fusion collaboration at the Grammy Awards 2021, showcasing her versatility and leaving everyone in awe."""
"Sonakshi Sinha, Pulitzer Prize, 2014","""Sonakshi Sinha, the Bollywood actress known for her powerful performances, made headlines in 2014 when she became the first Indian celebrity to win a Pulitzer Prize for her thought-provoking portrayal of a social activist in a critically acclaimed film."""
